congress,chamber,rollnumber,icpsr,cast_code
115,Senate,8,29935,6
115,Senate,8,29940,1
115,Senate,8,39310,1
115,Senate,8,40300,6
115,Senate,8,40304,6
115,Senate,8,40305,6
115,Senate,8,40700,1
115,Senate,8,40701,1
115,Senate,8,40702,1
115,Senate,8,40703,1
115,Senate,8,40704,1
115,Senate,8,40705,6
115,Senate,8,40707,6
115,Senate,8,40902,6
115,Senate,8,40904,1
115,Senate,8,40906,1
115,Senate,8,40908,1
115,Senate,8,40909,1
115,Senate,8,40910,1
115,Senate,8,40915,1
115,Senate,8,40916,1
115,Senate,8,41101,1
115,Senate,8,41102,6
115,Senate,8,41104,6
115,Senate,8,41107,6
115,Senate,8,41110,6
115,Senate,8,41111,6
115,Senate,8,41112,1
115,Senate,8,41300,1
115,Senate,8,41301,1
115,Senate,8,41302,6
115,Senate,8,41303,1
115,Senate,8,41304,6
115,Senate,8,41305,1
115,Senate,8,41308,1
115,Senate,8,41500,6
115,Senate,8,41501,6
115,Senate,8,41502,6
115,Senate,8,41503,6
115,Senate,8,41504,6
115,Senate,8,41505,6
115,Senate,8,41700,1
115,Senate,8,41701,1
115,Senate,8,41702,1
115,Senate,8,41703,6
115,Senate,8,49300,9
115,Senate,8,49308,1
115,Senate,8,49700,9
115,Senate,8,49703,1
115,Senate,8,49706,6
115,Senate,8,94659,6
115,Senate,9,14009,1
115,Senate,9,14226,1
115,Senate,9,14307,6
115,Senate,9,14435,6
115,Senate,9,14503,1
115,Senate,9,14651,6
115,Senate,9,14852,1
115,Senate,9,14858,6
115,Senate,9,14871,6
115,Senate,9,14921,1
115,Senate,9,15015,6
115,Senate,9,15021,6
115,Senate,9,15039,1
115,Senate,9,15408,6
115,Senate,9,15424,1
115,Senate,9,20100,1
115,Senate,9,20101,1
115,Senate,9,20146,1
115,Senate,9,20330,6
115,Senate,9,20707,6
115,Senate,9,20713,6
115,Senate,9,20717,6
115,Senate,9,20730,1
115,Senate,9,20735,6
115,Senate,9,20919,1
115,Senate,9,20923,6
115,Senate,9,20930,6
115,Senate,9,21112,1
115,Senate,9,21133,1
115,Senate,9,21166,1
115,Senate,9,21173,1
115,Senate,9,21301,1
115,Senate,9,21325,6
115,Senate,9,21338,1
115,Senate,9,29142,6
115,Senate,9,29147,6
115,Senate,9,29345,1
115,Senate,9,29373,6
115,Senate,9,29386,1
115,Senate,9,29389,6
115,Senate,9,29534,1
115,Senate,9,29548,1
115,Senate,9,29566,1
115,Senate,9,29722,1
115,Senate,9,29732,6
115,Senate,9,29735,1
115,Senate,9,29754,1
115,Senate,9,29909,1
115,Senate,9,29924,6
115,Senate,9,29935,1
115,Senate,9,29940,6
115,Senate,9,39310,6
115,Senate,9,40300,1
115,Senate,9,40304,1
115,Senate,9,40305,1
115,Senate,9,40700,6
115,Senate,9,40701,6
115,Senate,9,40702,6
115,Senate,9,40703,6
115,Senate,9,40704,6
115,Senate,9,40705,1
115,Senate,9,40707,1
115,Senate,9,40902,1
115,Senate,9,40904,6
115,Senate,9,40906,6
115,Senate,9,40908,6
115,Senate,9,40909,6
115,Senate,9,40910,6
115,Senate,9,40915,6
115,Senate,9,40916,6
115,Senate,9,41101,6
115,Senate,9,41102,1
115,Senate,9,41104,1
115,Senate,9,41107,1
115,Senate,9,41110,1
115,Senate,9,41111,1
115,Senate,9,41112,6
115,Senate,9,41300,6
115,Senate,9,41301,6
115,Senate,9,41302,1
115,Senate,9,41303,6
115,Senate,9,41304,1
115,Senate,9,41305,6
115,Senate,9,41308,6
115,Senate,9,41500,1
115,Senate,9,41501,1
115,Senate,9,41502,1
115,Senate,9,41503,1
115,Senate,9,41504,1
115,Senate,9,41505,1
115,Senate,9,41700,6
115,Senate,9,41701,6
115,Senate,9,41702,6
115,Senate,9,41703,1
115,Senate,9,49300,9
115,Senate,9,49308,6
115,Senate,9,49700,9
115,Senate,9,49703,1
115,Senate,9,49706,1
115,Senate,9,94659,1
115,Senate,10,14009,6
115,Senate,10,14226,6
115,Senate,10,14307,1
115,Senate,10,14435,1
115,Senate,10,14503,6
115,Senate,10,14651,1
115,Senate,10,14852,6
115,Senate,10,14858,1
115,Senate,10,14871,1
115,Senate,10,14921,6
115,Senate,10,15015,1
115,Senate,10,15021,1
115,Senate,10,15039,6
115,Senate,10,15408,1
115,Senate,10,15424,6
115,Senate,10,20100,6
115,Senate,10,20101,6
115,Senate,10,20146,1
115,Senate,10,20330,1
115,Senate,10,20707,1
115,Senate,10,20713,1
115,Senate,10,20717,1
115,Senate,10,20730,1
115,Senate,10,20735,1
115,Senate,10,20919,6
115,Senate,10,20923,1
115,Senate,10,20930,1
115,Senate,10,21112,6
115,Senate,10,21133,6
115,Senate,10,21166,6
115,Senate,10,21173,6
115,Senate,10,21301,6
115,Senate,10,21325,1
115,Senate,10,21338,6
115,Senate,10,29142,1
115,Senate,10,29147,1
115,Senate,10,29345,6
115,Senate,10,29373,1
115,Senate,10,29386,1
115,Senate,10,29389,1
115,Senate,10,29534,6
115,Senate,10,29548,6
115,Senate,10,29566,6
115,Senate,10,29722,6
115,Senate,10,29732,1
115,Senate,10,29735,6
115,Senate,10,29754,6
115,Senate,10,29909,6
115,Senate,10,29924,1
115,Senate,10,29935,6
115,Senate,10,29940,1
115,Senate,10,39310,1
115,Senate,10,40300,6
115,Senate,10,40304,6
115,Senate,10,40305,6
115,Senate,10,40700,1
115,Senate,10,40701,1
115,Senate,10,40702,1
115,Senate,10,40703,1
115,Senate,10,40704,1
115,Senate,10,40705,6
115,Senate,10,40707,6
115,Senate,10,40902,6
115,Senate,10,40904,1
115,Senate,10,40906,1
115,Senate,10,40908,1
115,Senate,10,40909,1
115,Senate,10,40910,1
115,Senate,10,40915,1
115,Senate,10,40916,1
115,Senate,10,41101,1
115,Senate,10,41102,6
115,Senate,10,41104,6
115,Senate,10,41107,6
115,Senate,10,41110,6
115,Senate,10,41111,6
115,Senate,10,41112,1
115,Senate,10,41300,1
115,Senate,10,41301,1
115,Senate,10,41302,6
115,Senate,10,41303,1
115,Senate,10,41304,6
115,Senate,10,41305,1
115,Senate,10,41308,1
115,Senate,10,41500,6
115,Senate,10,41501,6
115,Senate,10,41502,6
115,Senate,10,41503,6
115,Senate,10,41504,6
115,Senate,10,41505,6
115,Senate,10,41700,1
115,Senate,10,41701,1
115,Senate,10,41702,1
115,Senate,10,41703,6
115,Senate,10,49300,9
115,Senate,10,49308,1
115,Senate,10,49700,9
115,Senate,10,49703,1
115,Senate,10,49706,6
115,Senate,10,94659,6
115,Senate,11,14009,1
115,Senate,11,14226,1
115,Senate,11,14307,6
115,Senate,11,14435,6
115,Senate,11,14503,1
115,Senate,11,14651,6
115,Senate,11,14852,1
115,Senate,11,14858,6
115,Senate,11,14871,6
115,Senate,11,14921,1
115,Senate,11,15015,6
115,Senate,11,15021,6
115,Senate,11,15039,1
115,Senate,11,15408,6
115,Senate,11,15424,1
115,Senate,11,20100,1
115,Senate,11,20101,1
115,Senate,11,20146,1
115,Senate,11,20330,6
115,Senate,11,20707,6
115,Senate,11,20713,6
115,Senate,11,20717,6
115,Senate,11,20730,1
115,Senate,11,20735,6
115,Senate,11,20919,1
115,Senate,11,20923,6
115,Senate,11,20930,6
115,Senate,11,21112,1
115,Senate,11,21133,1
115,Senate,11,21166,1
115,Senate,11,21173,1
115,Senate,11,21301,1
115,Senate,11,21325,6
115,Senate,11,21338,1
115,Senate,11,29142,6
115,Senate,11,29147,6
115,Senate,11,29345,1
115,Senate,11,29373,6
115,Senate,11,29386,1
115,Senate,11,29389,6
115,Senate,11,29534,1
115,Senate,11,29548,1
115,Senate,11,29566,1
115,Senate,11,29722,1
115,Senate,11,29732,6
115,Senate,11,29735,1
115,Senate,11,29754,1
115,Senate,11,29909,1
115,Senate,11,29924,6
115,Senate,11,29935,1
115,Senate,11,29940,6
115,Senate,11,39310,6
115,Senate,11,40300,1
115,Senate,11,40304,1
115,Senate,11,40305,1
115,Senate,11,40700,6
115,Senate,11,40701,6
115,Senate,11,40702,6
115,Senate,11,40703,6
115,Senate,11,40704,6
115,Senate,11,40705,1
115,Senate,11,40707,1
115,Senate,11,40902,1
115,Senate,11,40904,6
